["E0",""]
["E1",""]
["W0",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
1.4989622900000000e+14 1.4204364893618041e-01 2.5221480238968561e+00
1.5019662224448897e+14 1.4823681273905431e-01 3.0688580870878073e+00
1.5049701548897797e+14 1.3758608469446398e-01 3.6153538393852398e+00
1.5079740873346694e+14 1.1261627333792409e-01 4.2086238381578678e+00
1.5109780197795591e+14 8.0598240839771768e-02 4.9471376634037503e+00
1.5139819522244488e+14 5.9046167487609533e-02 6.0358214784299369e+00
1.5169858846693388e+14 7.0483328246310942e-02 7.2298632044147588e+00
1.5199898171142284e+14 9.9186795439300673e-02 8.0488394514963115e+00
1.5229937495591181e+14 1.2370761630302347e-01 8.6699431240623763e+00
1.5259976820040081e+14 1.3580812494399444e-01 9.2240756364598546e+00
1.5290016144488978e+14 1.3305503499158927e-01 9.7670623620387484e+00
1.5320055468937875e+14 1.1657705629539915e-01 1.0341304903502543e+01
1.5350094793386775e+14 9.1248208962447092e-02 1.1013820550950195e+01
1.5380134117835672e+14 6.8382672764858390e-02 1.1916850219662450e+01
1.5410173442284569e+14 6.7211228124610695e-02 1.3045082940615243e+01
1.5440212766733466e+14 8.8770181318242866e-02 1.3972683474019577e+01
1.5470252091182366e+14 1.1387909410876793e-01 1.4661882167277128e+01
1.5500291415631262e+14 1.3088763025105860e-01 1.5248642827384984e+01
1.5530330740080159e+14 1.3507567152052294e-01 1.5803367181805317e+01
1.5560370064529059e+14 1.2563457082733917e-01 1.6367863447801408e+01
1.5590409388977956e+14 1.0515107595585269e-01 1.6989179773454993e+01
1.5620448713426853e+14 8.0654876518557947e-02 1.7753575184584083e+01
1.5650488037875750e+14 6.6491890162679895e-02 1.8766792724866924e+01
1.5680527362324650e+14 7.5916352226942374e-02 1.9819332429751991e+01
1.5710566686773547e+14 9.8514496410629246e-02 2.0628929213840305e+01
1.5740606011222444e+14 1.1881894261983116e-01 2.1278274691737035e+01
1.5770645335671344e+14 1.2917507184235424e-01 2.1866403381241561e+01
1.5800684660120241e+14 1.2683930787507239e-01 2.2448213842280317e+01
1.5830723984569138e+14 1.1264292103076115e-01 2.3069575366305237e+01
1.5860763309018038e+14 9.1558340732938226e-02 2.3797538267811106e+01
1.5890802633466934e+14 7.4869085174715647e-02 2.4725713997935443e+01
1.5920841957915831e+14 7.7293304690103315e-02 2.5777998886315949e+01
1.5950881282364728e+14 9.6775932925683691e-02 2.6666391537591899e+01
1.5980920606813628e+14 1.1830690085277318e-01 2.7374847379558343e+01
1.6010959931262525e+14 1.3211578845438207e-01 2.7997483844434605e+01
1.6040999255711422e+14 1.3424549953660364e-01 2.8594784058364581e+01
1.6071038580160322e+14 1.2469831120331872e-01 2.9209724923366601e+01
1.6101077904609219e+14 1.0710322278226432e-01 2.9891333382998184e+01
1.6131117229058116e+14 8.9481119767974113e-02 3.0704587927853769e+01
1.6161156553507012e+14 8.3713040625944091e-02 3.1657086849762546e+01
1.6191195877955912e+14 9.5029681491618320e-02 3.2575262359184883e+01
1.6221235202404809e+14 1.1440919857739479e-01 3.3342671938720748e+01
1.6251274526853706e+14 1.3104705240965539e-01 3.4005300351743344e+01
